TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
12/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
12/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
12/01/2018;Ikan Teri Asin;Kg;100960;;;;;;
12/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;96667;;;;;;
12/01/2018;Ayam Kampung;ekor;88000;;;;;;
12/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;73333;;;;;;
12/01/2018;Cabai Rawit Merah;Kg;49160;;;;;;
12/01/2018;Cabai Merah Keriting;Kg;44360;;;;;;
12/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44167;;;;;;
12/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42400;;;;;;
12/01/2018;Cabai Merah Besar;Kg;41040;;;;;;
12/01/2018;Cabai Rawit Hijau;Kg;38340;;;;;;
12/01/2018;Ikan Kembung;Kg;37660;;;;;;
12/01/2018;Ayam Boiler;ekor;36260;;;;;;
12/01/2018;Bawang Putih Impor (Kating);Kg;27440;;;;;;
12/01/2018;Bawang Putih Impor (Honan);Kg;26000;;;;;;
12/01/2018;Kacang Tanah;Kg;25700;;;;;;
12/01/2018;Telur Ayam Ras;Kg;25700;;;;;;
12/01/2018;Bawang Merah (Medium);Kg;25640;;;;;;
12/01/2018;Kacang Hijau;Kg;22240;;;;;;
12/01/2018;Jagung Pipilan Kecil;Kg;15500;;;;;;
12/01/2018;Gula Pasir;Kg;13700;;;;;;
12/01/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
12/01/2018;Minyak Goreng Curah;Liter;12300;;;;;;
12/01/2018;Kacang Kedelai Eks impor;Kg;12000;;;;;;
12/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11610;;;;;;
12/01/2018;Beras Medium;Kg;11520;;;;;;
12/01/2018;Garam Beryodium Halus;Kg;11360;;;;;;
12/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
12/01/2018;Tepung Terigu Segitiga Biru;Kg;9900;;;;;;
12/01/2018;Ketela Pohon;Kg;4800;;;;;;
12/01/2018;Garam Beryodium Bata;250 gr;3720;;;;;;
12/01/2018;Kacang Kedelai Lokal;Kg;3667;;;;;;
12/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2360;;;;;;
12/01/2018;Telur Ayam Kampung;butir;2160;;;;;;
15/01/2018;Daging Sapi Lokal Has Dalam;Kg;148333;;;;;;
15/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;121667;;;;;;
15/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
15/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
15/01/2018;Ikan Teri Asin;Kg;107660;;;;;;
15/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
15/01/2018;Ayam Kampung;ekor;85767;;;;;;
15/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;70000;;;;;;
15/01/2018;Cabai Rawit Merah;Kg;56740;;;;;;
15/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44667;;;;;;
15/01/2018;Cabai Merah Keriting;Kg;44140;;;;;;
15/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;43067;;;;;;
15/01/2018;Cabai Rawit Hijau;Kg;42400;;;;;;
15/01/2018;Cabai Merah Besar;Kg;41040;;;;;;
15/01/2018;Ikan Kembung;Kg;37800;;;;;;
15/01/2018;Ayam Boiler;ekor;37460;;;;;;
15/01/2018;Bawang Putih Impor (Kating);Kg;28960;;;;;;
15/01/2018;Bawang Merah (Medium);Kg;27600;;;;;;
15/01/2018;Telur Ayam Ras;Kg;25760;;;;;;
15/01/2018;Bawang Putih Impor (Honan);Kg;25500;;;;;;
15/01/2018;Kacang Tanah;Kg;25360;;;;;;
15/01/2018;Kacang Hijau;Kg;22660;;;;;;
15/01/2018;Jagung Pipilan Kecil;Kg;15567;;;;;;
15/01/2018;Gula Pasir;Kg;14040;;;;;;
15/01/2018;Minyak Goreng Bimoli Botol;Liter;13510;;;;;;
15/01/2018;Garam Beryodium Halus;Kg;13100;;;;;;
15/01/2018;Minyak Goreng Curah;Liter;12625;;;;;;
15/01/2018;Beras Medium;Kg;12240;;;;;;
15/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12060;;;;;;
15/01/2018;Kacang Kedelai Eks impor;Kg;12050;;;;;;
15/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10700;;;;;;
15/01/2018;Tepung Terigu Segitiga Biru;Kg;10040;;;;;;
15/01/2018;Ketela Pohon;Kg;4740;;;;;;
15/01/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
15/01/2018;Kacang Kedelai Lokal;Kg;3667;;;;;;
15/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2400;;;;;;
15/01/2018;Telur Ayam Kampung;butir;2040;;;;;;
16/01/2018;Daging Sapi Lokal Has Dalam;Kg;148333;;;;;;
16/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;121667;;;;;;
16/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
16/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
16/01/2018;Ikan Teri Asin;Kg;105940;;;;;;
16/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;98333;;;;;;
16/01/2018;Ayam Kampung;ekor;81233;;;;;;
16/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;80000;;;;;;
16/01/2018;Cabai Rawit Merah;Kg;54260;;;;;;
16/01/2018;Cabai Merah Keriting;Kg;44860;;;;;;
16/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44100;;;;;;
16/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42433;;;;;;
16/01/2018;Cabai Merah Besar;Kg;41360;;;;;;
16/01/2018;Cabai Rawit Hijau;Kg;38200;;;;;;
16/01/2018;Ayam Boiler;ekor;37140;;;;;;
16/01/2018;Ikan Kembung;Kg;36660;;;;;;
16/01/2018;Bawang Putih Impor (Kating);Kg;28840;;;;;;
16/01/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
16/01/2018;Bawang Merah (Medium);Kg;25940;;;;;;
16/01/2018;Telur Ayam Ras;Kg;25400;;;;;;
16/01/2018;Kacang Tanah;Kg;25100;;;;;;
16/01/2018;Kacang Hijau;Kg;22740;;;;;;
16/01/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
16/01/2018;Gula Pasir;Kg;13860;;;;;;
16/01/2018;Minyak Goreng Bimoli Botol;Liter;13490;;;;;;
16/01/2018;Minyak Goreng Curah;Liter;12500;;;;;;
16/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12460;;;;;;
16/01/2018;Beras Medium;Kg;12260;;;;;;
16/01/2018;Kacang Kedelai Eks impor;Kg;12050;;;;;;
16/01/2018;Garam Beryodium Halus;Kg;10900;;;;;;
