TANGGAL,KOMODITI,HARGA
22/01/2018,Jagung Pipilan Kecil,15333
22/01/2018,Garam Beryodium Bata,3760
22/01/2018,Garam Beryodium Halus,13260
22/01/2018,Tepung Terigu Segitiga Biru,10140
22/01/2018,Kacang Kedelai Eks impor,13175
22/01/2018,Kacang Kedelai Lokal,12000
22/01/2018,Mie Instan Indomie Rasa Kari Ayam,2380
22/01/2018,Cabe Merah Keriting,45840
22/01/2018,Cabe Merah Besar,46000
22/01/2018,Cabe Rawit Merah,51160
22/01/2018,Cabe Rawit Hijau,41600
22/01/2018,Bawang Merah (Medium),26240
22/01/2018,Bawang Putih Impor (Kating),28340
22/01/2018,Bawang Putih Impor (Honan),22500
22/01/2018,Ikan Teri Asin,111000
22/01/2018,Ikan Kembung,38300
22/01/2018,Kacang Hijau,22800
22/01/2018,Kacang Tanah,25560
22/01/2018,Ketela Pohon,4800
23/01/2018,Beras,10975
23/01/2018,Gula Pasir,14000
23/01/2018,Minyak Goreng Bimoli Botol,13500
