TANGGAL,KOMODITI,SATUAN,HARGA
04/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
07/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12300
08/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
09/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
11/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11650
14/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11700
15/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11500
16/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
17/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11500
18/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11500
21/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11460
22/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11460
23/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11460
24/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12200
25/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
28/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
30/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12400
31/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11700
02/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10190
03/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10540
04/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9940
07/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9990
08/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9840
09/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9720
11/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9740
14/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9840
15/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9840
16/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9840
17/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
18/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
21/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10080
22/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10080
23/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10080
24/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10120
25/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9940
28/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9940
30/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
31/05/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10440
02/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
03/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
04/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
07/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
08/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
09/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44233
11/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44233
14/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
15/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
16/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
17/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
18/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
21/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43567
22/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43567
23/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43567
24/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
25/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
28/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
30/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
31/05/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
02/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
03/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
04/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
07/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
08/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
09/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,47600
11/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,47600
14/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400
15/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400
16/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400
17/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400
18/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42167
21/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000
22/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000
23/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000
24/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42100
25/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42100
28/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42100
30/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42100
31/05/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
02/05/2018,Jagung Pipilan Kecil,Kg,15100
03/05/2018,Jagung Pipilan Kecil,Kg,15100
04/05/2018,Jagung Pipilan Kecil,Kg,15100
07/05/2018,Jagung Pipilan Kecil,Kg,15100
08/05/2018,Jagung Pipilan Kecil,Kg,15100
09/05/2018,Jagung Pipilan Kecil,Kg,15100
11/05/2018,Jagung Pipilan Kecil,Kg,15100
14/05/2018,Jagung Pipilan Kecil,Kg,15100
15/05/2018,Jagung Pipilan Kecil,Kg,15100
16/05/2018,Jagung Pipilan Kecil,Kg,15100
17/05/2018,Jagung Pipilan Kecil,Kg,15100
18/05/2018,Jagung Pipilan Kecil,Kg,14900
21/05/2018,Jagung Pipilan Kecil,Kg,14567
22/05/2018,Jagung Pipilan Kecil,Kg,14567
23/05/2018,Jagung Pipilan Kecil,Kg,14567
24/05/2018,Jagung Pipilan Kecil,Kg,14900
25/05/2018,Jagung Pipilan Kecil,Kg,14900
28/05/2018,Jagung Pipilan Kecil,Kg,14900
30/05/2018,Jagung Pipilan Kecil,Kg,14900
31/05/2018,Jagung Pipilan Kecil,Kg,15100
02/05/2018,Garam Beryodium Bata,250 gr,3820
03/05/2018,Garam Beryodium Bata,250 gr,3900
04/05/2018,Garam Beryodium Bata,250 gr,3700
07/05/2018,Garam Beryodium Bata,250 gr,3920
08/05/2018,Garam Beryodium Bata,250 gr,3920
09/05/2018,Garam Beryodium Bata,250 gr,3800
11/05/2018,Garam Beryodium Bata,250 gr,3700
14/05/2018,Garam Beryodium Bata,250 gr,3640
15/05/2018,Garam Beryodium Bata,250 gr,3890
16/05/2018,Garam Beryodium Bata,250 gr,3660
17/05/2018,Garam Beryodium Bata,250 gr,4160
18/05/2018,Garam Beryodium Bata,250 gr,3920
21/05/2018,Garam Beryodium Bata,250 gr,3960
22/05/2018,Garam Beryodium Bata,250 gr,3860
23/05/2018,Garam Beryodium Bata,250 gr,3760
24/05/2018,Garam Beryodium Bata,250 gr,3940
25/05/2018,Garam Beryodium Bata,250 gr,4080
28/05/2018,Garam Beryodium Bata,250 gr,3680
30/05/2018,Garam Beryodium Bata,250 gr,4220
31/05/2018,Garam Beryodium Bata,251 gr,3860
02/05/2018,Garam Beryodium Halus,Kg,10860
03/05/2018,Garam Beryodium Halus,Kg,10160
04/05/2018,Garam Beryodium Halus,Kg,10860
07/05/2018,Garam Beryodium Halus,Kg,10860
08/05/2018,Garam Beryodium Halus,Kg,12260
09/05/2018,Garam Beryodium Halus,Kg,12860
11/05/2018,Garam Beryodium Halus,Kg,11360
14/05/2018,Garam Beryodium Halus,Kg,11560
15/05/2018,Garam Beryodium Halus,Kg,12360
16/05/2018,Garam Beryodium Halus,Kg,10760
17/05/2018,Garam Beryodium Halus,Kg,10860
18/05/2018,Garam Beryodium Halus,Kg,12740
21/05/2018,Garam Beryodium Halus,Kg,11060
22/05/2018,Garam Beryodium Halus,Kg,10960
23/05/2018,Garam Beryodium Halus,Kg,10860
24/05/2018,Garam Beryodium Halus,Kg,11940
25/05/2018,Garam Beryodium Halus,Kg,10140
28/05/2018,Garam Beryodium Halus,Kg,10840
30/05/2018,Garam Beryodium Halus,Kg,10340
31/05/2018,Garam Beryodium Halus,Kg,11360
02/05/2018,Tepung Terigu Segitiga Biru,Kg,9900
03/05/2018,Tepung Terigu Segitiga Biru,Kg,9800
04/05/2018,Tepung Terigu Segitiga Biru,Kg,10300
07/05/2018,Tepung Terigu Segitiga Biru,Kg,10300
08/05/2018,Tepung Terigu Segitiga Biru,Kg,10400
09/05/2018,Tepung Terigu Segitiga Biru,Kg,10400
11/05/2018,Tepung Terigu Segitiga Biru,Kg,10500
14/05/2018,Tepung Terigu Segitiga Biru,Kg,10560
15/05/2018,Tepung Terigu Segitiga Biru,Kg,10260
16/05/2018,Tepung Terigu Segitiga Biru,Kg,10360
17/05/2018,Tepung Terigu Segitiga Biru,Kg,10260
18/05/2018,Tepung Terigu Segitiga Biru,Kg,10340
21/05/2018,Tepung Terigu Segitiga Biru,Kg,10400
22/05/2018,Tepung Terigu Segitiga Biru,Kg,10200
23/05/2018,Tepung Terigu Segitiga Biru,Kg,10100
24/05/2018,Tepung Terigu Segitiga Biru,Kg,10500
25/05/2018,Tepung Terigu Segitiga Biru,Kg,10500
28/05/2018,Tepung Terigu Segitiga Biru,Kg,10300
30/05/2018,Tepung Terigu Segitiga Biru,Kg,10600
31/05/2018,Tepung Terigu Segitiga Biru,Kg,10400
