tanggal ,komoditi,satuan,harga
2018-10-05,Susu Kental Manis Kaleng Merk Bendera,buah,11900
2018-10-08,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-09,Susu Kental Manis Kaleng Merk Bendera,buah,12100
2018-10-10,Susu Kental Manis Kaleng Merk Bendera,buah,11400
2018-10-11,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-12,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-15,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-16,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-17,Susu Kental Manis Kaleng Merk Bendera,buah,11400
2018-10-18,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-19,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-22,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-23,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-24,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-25,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-26,Susu Kental Manis Kaleng Merk Bendera,buah,11400
2018-10-29,Susu Kental Manis Kaleng Merk Bendera,buah,11400
2018-10-30,Susu Kental Manis Kaleng Merk Bendera,buah,11800
2018-10-31,Susu Kental Manis Kaleng Merk Bendera,buah,11700
2018-10-01,Susu Kental Manis Kaleng Merk Indomilk,buah,10120
2018-10-02,Susu Kental Manis Kaleng Merk Indomilk,buah,10020
2018-10-03,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-04,Susu Kental Manis Kaleng Merk Indomilk,buah,10020
2018-10-05,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-08,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-09,Susu Kental Manis Kaleng Merk Indomilk,buah,10320
2018-10-10,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-11,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-12,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-15,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-16,Susu Kental Manis Kaleng Merk Indomilk,buah,10020
2018-10-17,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-18,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-19,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-22,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-23,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-24,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-25,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-26,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-29,Susu Kental Manis Kaleng Merk Indomilk,buah,9920
2018-10-30,Susu Kental Manis Kaleng Merk Indomilk,buah,10360
2018-10-31,Susu Kental Manis Kaleng Merk Indomilk,buah,10360
2018-10-01,Susu Bubuk Kaleng Merk Bendera,buah,35925
2018-10-02,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-03,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-04,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-05,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-08,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-09,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-10,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-11,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-12,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-15,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-16,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-17,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-18,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-19,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-22,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-23,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-24,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-25,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-26,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-29,Susu Bubuk Kaleng Merk Bendera,buah,44175
2018-10-30,Susu Bubuk Kaleng Merk Bendera,buah,44325
2018-10-31,Susu Bubuk Kaleng Merk Bendera,buah,44325
2018-10-01,Susu Bubuk Kaleng Merk Indomilk,buah,34300
2018-10-02,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-03,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-04,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-05,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-08,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-09,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-10,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-11,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-12,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-15,Susu Bubuk Kaleng Merk Indomilk,buah,42425
2018-10-16,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-17,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-18,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-19,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-22,Susu Bubuk Kaleng Merk Indomilk,buah,42550
2018-10-23,Susu Bubuk Kaleng Merk Indomilk,buah,42550
